Milho | INDICADOR DO MILHO ESALQ/BM&FBOVESPA
Nota,"à vista por saca de 60 kg, descontado o Prazo de Pagamento pela taxa CDI/CETIP."
Fonte,Cepea
Data,À vista R$,À vista US$
02/01/2014,"26,64","11,14"
03/01/2014,"27,00","11,36"
06/01/2014,"27,29","11,48"
07/01/2014,"27,49","11,57"
08/01/2014,"27,16","11,37"
09/01/2014,"27,17","11,33"
10/01/2014,"27,17","11,49"
13/01/2014,"27,32","11,60"
14/01/2014,"27,35","11,61"
15/01/2014,"27,30","11,59"
16/01/2014,"27,07","11,46"
17/01/2014,"27,02","11,50"
20/01/2014,"26,81","11,46"
21/01/2014,"26,65","11,28"
22/01/2014,"26,59","11,23"
23/01/2014,"26,47","11,03"
24/01/2014,"26,04","10,87"
27/01/2014,"26,16","10,80"
28/01/2014,"26,24","10,81"
29/01/2014,"26,22","10,77"
30/01/2014,"26,46","10,95"
31/01/2014,"26,65","11,02"
03/02/2014,"26,91","11,05"
04/02/2014,"27,41","11,36"
05/02/2014,"28,06","11,69"
06/02/2014,"28,52","11,97"
07/02/2014,"28,31","11,90"
10/02/2014,"28,37","11,79"
11/02/2014,"28,93","12,04"
12/02/2014,"29,51","12,18"
13/02/2014,"29,70","12,34"
14/02/2014,"30,11","12,63"
17/02/2014,"30,13","12,62"
18/02/2014,"30,96","12,94"
19/02/2014,"31,76","13,28"
20/02/2014,"32,51","13,70"
21/02/2014,"33,13","14,06"
24/02/2014,"33,15","14,14"
25/02/2014,"33,62","14,37"
26/02/2014,"33,74","14,33"
27/02/2014,"33,68","14,50"
28/02/2014,"33,95","14,50"
05/03/2014,"33,85","14,60"
06/03/2014,"33,82","14,59"
07/03/2014,"34,03","14,49"
10/03/2014,"34,16","14,52"
11/03/2014,"34,11","14,43"
12/03/2014,"33,85","14,35"
13/03/2014,"33,64","14,22"
14/03/2014,"33,51","14,26"
17/03/2014,"33,37","14,21"
18/03/2014,"32,97","14,08"
19/03/2014,"32,78","13,94"
20/03/2014,"32,20","13,82"
21/03/2014,"31,90","13,73"
24/03/2014,"31,97","13,78"
25/03/2014,"31,88","13,82"
26/03/2014,"31,55","13,66"
27/03/2014,"31,67","13,97"
28/03/2014,"31,44","13,90"
31/03/2014,"31,34","13,82"
01/04/2014,"31,32","13,82"
02/04/2014,"31,26","13,76"
03/04/2014,"31,29","13,71"
04/04/2014,"31,33","13,96"
07/04/2014,"31,24","14,09"
08/04/2014,"31,28","14,19"
09/04/2014,"31,44","14,30"
10/04/2014,"31,28","14,21"
11/04/2014,"31,32","14,11"
14/04/2014,"31,26","14,10"
15/04/2014,"31,53","14,09"
16/04/2014,"31,32","13,97"
17/04/2014,"31,18","13,92"
22/04/2014,"31,56","14,07"
23/04/2014,"31,33","14,09"
24/04/2014,"31,01","13,99"
25/04/2014,"30,95","13,80"
28/04/2014,"30,73","13,80"
29/04/2014,"30,48","13,65"
30/04/2014,"30,49","13,65"
02/05/2014,"30,40","13,69"
05/05/2014,"30,39","13,52"
06/05/2014,"30,34","13,62"
07/05/2014,"29,62","13,34"
08/05/2014,"29,54","13,36"
09/05/2014,"29,41","13,27"
12/05/2014,"29,48","13,28"
13/05/2014,"28,85","13,02"
14/05/2014,"28,96","13,12"
15/05/2014,"28,75","12,94"
16/05/2014,"28,35","12,81"
19/05/2014,"28,43","12,88"
20/05/2014,"28,02","12,63"
21/05/2014,"28,01","12,68"
22/05/2014,"27,95","12,61"
23/05/2014,"28,00","12,59"
26/05/2014,"27,88","12,53"
27/05/2014,"27,88","12,44"
28/05/2014,"28,03","12,55"
29/05/2014,"27,74","12,47"
30/05/2014,"27,71","12,37"
02/06/2014,"27,78","12,22"
03/06/2014,"27,71","12,16"
04/06/2014,"27,33","11,96"
05/06/2014,"27,28","12,05"
06/06/2014,"27,11","12,06"
09/06/2014,"27,03","12,13"
10/06/2014,"26,87","12,06"
11/06/2014,"26,67","11,93"
12/06/2014,"26,66","11,94"
13/06/2014,"26,42","11,85"
16/06/2014,"26,24","11,73"
17/06/2014,"26,23","11,63"
18/06/2014,"25,93","11,63"
20/06/2014,"25,90","11,61"
23/06/2014,"25,91","11,68"
24/06/2014,"25,52","11,46"
25/06/2014,"25,48","11,55"
26/06/2014,"25,18","11,46"
27/06/2014,"25,16","11,45"
30/06/2014,"25,16","11,37"
01/07/2014,"24,46","11,09"
02/07/2014,"24,89","11,19"
03/07/2014,"24,66","11,14"
04/07/2014,"24,73","11,16"
07/07/2014,"24,39","10,96"
08/07/2014,"24,48","11,06"
10/07/2014,"24,35","10,97"
11/07/2014,"24,28","10,93"
14/07/2014,"23,98","10,83"
15/07/2014,"23,91","10,76"
16/07/2014,"23,84","10,73"
17/07/2014,"23,55","10,47"
18/07/2014,"23,43","10,51"
21/07/2014,"23,10","10,39"
22/07/2014,"22,99","10,40"
